iter	Passed	Remaining
0	138	138638
1	139	69639
2	140	46645
3	141	35139
4	141	28212
5	142	23594
6	143	20294
7	143	17814
8	144	15886
9	144	14344
10	145	13081
11	146	12030
12	146	11139
13	147	10376
14	147	9713
15	148	9134
16	149	8623
17	149	8172
18	150	7767
19	151	7406
20	151	7078
21	152	6780
22	153	6508
23	153	6254
24	154	6023
25	155	5808
26	155	5608
27	156	5423
28	156	5250
29	157	5089
30	158	4938
31	158	4797
32	159	4664
33	159	4539
34	160	4421
35	160	4309
36	161	4204
37	162	4104
38	162	4010
39	163	3920
40	163	3835
41	164	3754
42	165	3676
43	165	3601
44	166	3531
45	167	3463
46	167	3398
47	168	3336
48	168	3275
49	169	3218
50	170	3163
51	170	3110
52	171	3058
53	171	3010
54	172	2962
55	173	2916
56	173	2872
57	174	2829
58	174	2787
59	175	2747
60	175	2708
61	176	2671
62	177	2635
63	177	2600
64	178	2566
65	179	2533
66	179	2501
67	179	2466
68	180	2436
69	181	2408
70	181	2379
71	182	2351
72	183	2324
73	183	2297
74	184	2272
75	184	2247
76	185	2223
77	186	2199
78	186	2176
79	187	2153
80	187	2131
81	188	2109
82	189	2089
83	189	2068
84	190	2046
85	190	2027
86	191	2006
87	191	1987
88	192	1969
89	193	1951
90	193	1934
91	194	1917
92	194	1900
93	195	1884
94	196	1868
95	196	1852
96	197	1836
97	197	1821
98	198	1806
99	199	1791
100	199	1777
101	200	1761
102	200	1747
103	201	1733
104	201	1721
105	202	1709
106	203	1697
107	204	1685
108	204	1673
109	205	1661
110	205	1649
111	206	1637
112	207	1625
113	207	1614
114	208	1602
115	208	1590
116	209	1580
117	209	1569
118	210	1557
119	211	1547
120	211	1537
121	212	1527
122	212	1515
123	213	1505
124	213	1495
125	214	1486
126	214	1477
127	215	1466
128	215	1457
129	216	1449
130	217	1440
131	217	1431
132	218	1423
133	218	1415
134	219	1406
135	220	1398
136	220	1390
137	221	1382
138	221	1374
139	222	1366
140	223	1359
141	223	1351
142	224	1344
143	224	1336
144	225	1329
145	226	1322
146	226	1315
147	227	1308
148	227	1300
149	228	1294
150	228	1287
151	229	1280
152	230	1274
153	230	1267
154	231	1261
155	231	1254
156	232	1248
157	233	1242
158	233	1236
159	234	1230
160	234	1224
161	235	1218
162	236	1212
163	236	1206
164	237	1201
165	237	1195
166	238	1189
167	239	1184
168	239	1178
169	240	1173
170	240	1168
171	241	1162
172	242	1157
173	242	1152
174	243	1147
175	243	1142
176	244	1137
177	245	1132
178	245	1127
179	246	1122
180	246	1116
181	247	1111
182	247	1106
183	248	1102
184	249	1097
185	249	1092
186	250	1088
187	250	1083
188	251	1079
189	252	1075
190	252	1070
191	253	1066
192	254	1062
193	254	1057
194	255	1053
195	255	1049
196	256	1045
197	256	1040
198	257	1036
199	258	1032
200	258	1028
201	259	1024
202	259	1020
203	260	1016
204	261	1013
205	261	1009
206	262	1005
207	263	1001
208	263	997
209	264	993
210	264	990
211	265	986
212	266	982
213	266	979
214	267	975
215	267	972
216	268	968
217	268	964
218	269	961
219	270	957
220	270	954
221	271	950
222	271	947
223	272	944
224	273	940
225	273	937
226	274	934
227	274	930
228	275	927
229	276	924
230	276	921
231	277	918
232	277	914
233	278	911
234	279	908
235	279	905
236	280	902
237	280	899
238	281	896
239	282	893
240	282	890
241	283	887
242	283	884
243	284	881
244	285	878
245	285	875
246	286	872
247	286	869
248	287	866
249	288	864
250	288	861
251	289	858
252	289	855
253	290	852
254	290	850
255	291	847
256	292	844
257	292	841
258	293	839
259	293	836
260	294	833
261	295	831
262	295	828
263	296	826
264	296	823
265	297	821
266	298	818
267	298	815
268	299	813
269	299	810
270	300	808
271	300	805
272	301	803
273	302	800
274	302	798
275	303	796
276	304	793
277	304	791
278	305	788
279	305	786
280	306	784
281	307	781
282	307	779
283	308	777
284	308	774
285	309	772
