iter	Passed	Remaining
0	182	182272
1	186	92978
2	189	63120
3	193	48249
4	197	39357
5	201	33424
6	205	29172
7	209	25967
8	213	23532
9	217	21581
10	222	19963
11	225	18601
12	229	17456
13	234	16486
14	238	15636
15	241	14857
16	244	14164
17	248	13561
18	252	13033
19	256	12556
20	260	12148
21	264	11770
22	268	11400
23	271	11057
24	275	10758
25	280	10498
26	284	10245
27	288	10008
28	293	9812
29	297	9615
30	300	9405
31	305	9232
32	309	9069
33	313	8896
34	317	8744
35	321	8614
36	325	8464
37	328	8316
38	331	8178
39	335	8061
40	339	7935
41	342	7814
42	346	7710
43	349	7603
44	353	7507
45	357	7408
46	361	7324
47	364	7229
48	368	7153
49	372	7073
50	375	6993
51	379	6917
52	383	6847
53	386	6773
54	390	6702
55	393	6632
56	397	6573
57	400	6511
58	404	6448
59	407	6388
60	411	6334
61	415	6281
62	418	6230
63	422	6174
64	425	6125
65	429	6073
66	432	6024
67	435	5972
68	439	5931
69	443	5897
70	447	5854
71	450	5812
72	454	5771
73	458	5736
74	462	5698
75	465	5662
76	469	5626
77	473	5598
78	476	5558
79	479	5511
80	481	5466
81	484	5422
82	485	5365
83	488	5328
84	491	5287
85	493	5245
86	495	5203
87	498	5161
88	500	5120
89	502	5081
90	504	5043
91	507	5006
92	509	4967
93	511	4929
94	514	4896
95	516	4865
96	519	4833
97	521	4798
98	523	4765
99	525	4730
100	527	4697
101	530	4673
102	533	4642
103	535	4611
104	537	4582
105	539	4550
106	542	4523
107	544	4500
108	547	4473
109	549	4448
110	552	4421
111	554	4396
112	556	4369
113	558	4343
114	561	4321
115	563	4296
116	565	4270
117	567	4245
118	570	4222
119	572	4198
120	575	4177
121	576	4152
122	579	4131
123	581	4109
124	583	4087
125	586	4065
126	588	4043
127	590	4023
128	592	4003
129	594	3981
130	597	3960
131	599	3940
132	601	3920
133	603	3902
134	606	3883
135	608	3863
136	610	3845
137	612	3827
138	614	3808
139	617	3791
140	619	3774
141	621	3753
142	623	3737
143	625	3720
144	628	3704
145	630	3687
146	633	3675
147	635	3659
148	637	3643
149	640	3628
150	642	3611
151	644	3595
152	647	3582
153	649	3567
154	651	3552
155	654	3538
156	656	3523
157	658	3509
158	660	3494
159	662	3480
160	664	3462
161	666	3448
162	668	3434
163	671	3420
164	673	3406
165	675	3392
166	677	3381
167	680	3368
168	682	3356
169	684	3344
170	687	3332
171	689	3318
172	692	3309
173	694	3298
174	697	3287
175	699	3276
176	702	3264
177	704	3254
178	707	3244
179	709	3234
180	712	3223
181	714	3211
182	716	3199
183	719	3188
184	721	3178
185	724	3169
186	726	3159
187	729	3148
188	731	3138
189	734	3129
190	736	3121
191	739	3112
192	742	3104
193	744	3094
194	747	3084
195	749	3075
196	752	3065
197	754	3056
198	756	3046
199	759	3037
200	761	3027
201	763	3017
202	766	3008
203	769	3001
204	772	2994
205	774	2986
206	776	2976
207	779	2969
208	783	2963
209	786	2956
210	788	2949
211	791	2941
212	793	2933
213	797	2928
214	800	2921
215	802	2913
216	805	2905
217	808	2900
218	811	2893
219	814	2886
220	816	2878
221	818	2869
222	821	2860
223	823	2853
224	826	2848
225	829	2841
226	832	2834
227	834	2826
228	837	2819
229	839	2811
230	842	2804
231	845	2797
232	847	2789
233	849	2782
234	852	2775
235	855	2768
236	857	2762
237	860	2754
238	863	2748
239	865	2740
240	868	2734
241	870	2726
242	872	2718
243	875	2711
244	877	2704
245	879	2696
246	882	2690
247	884	2683
248	887	2676
249	889	2669
250	892	2664
251	895	2656
252	897	2649
253	899	2641
254	901	2634
255	903	2626
256	906	2619
257	908	2613
258	911	2606
259	913	2600
260	915	2593
261	918	2586
262	920	2579
263	922	2572
264	925	2565
265	927	2559
266	929	2552
267	931	2544
268	933	2537
269	936	2531
270	938	2523
271	940	2516
272	942	2510
273	944	2503
274	947	2496
275	949	2490
276	951	2483
277	953	2476
278	955	2470
279	958	2464
280	960	2458
281	962	2451
282	965	2445
283	967	2438
284	969	2432
285	971	2426
286	974	2419
287	976	2413
288	979	2408
289	981	2402
290	983	2395
291	985	2390
292	988	2384
293	990	2377
294	992	2371
295	994	2364
296	996	2358
297	998	2352
298	1001	2347
299	1003	2341
300	1006	2336
301	1008	2330
302	1010	2325
303	1013	2319
304	1016	2315
305	1018	2310
306	1020	2304
307	1022	2298
308	1025	2292
309	1027	2287
310	1031	2284
311	1033	2279
312	1037	2276
313	1039	2271
314	1042	2266
315	1045	2263
316	1048	2259
317	1051	2255
318	1054	2250
319	1056	2245
320	1060	2243
321	1063	2239
322	1065	2233
323	1067	2226
324	1069	2221
325	1071	2214
326	1072	2207
327	1074	2202
328	1076	2195
329	1077	2188
330	1079	2181
331	1080	2174
332	1082	2167
333	1083	2159
334	1084	2152
335	1085	2145
336	1087	2138
337	1088	2132
338	1089	2125
339	1091	2118
340	1092	2111
341	1093	2104
342	1095	2097
343	1096	2090
344	1097	2083
345	1098	2076
346	1099	2069
347	1100	2062
348	1103	2058
349	1104	2051
350	1105	2044
351	1106	2037
352	1108	2031
353	1109	2025
354	1111	2019
355	1112	2013
356	1114	2006
357	1115	2000
358	1118	1996
359	1119	1990
360	1120	1984
361	1122	1977
362	1123	1971
363	1124	1965
364	1126	1959
365	1127	1953
366	1128	1946
367	1129	1940
368	1131	1934
369	1132	1927
370	1133	1922
371	1135	1916
372	1136	1910
373	1137	1904
374	1139	1898
375	1140	1892
376	1141	1886
377	1142	1880
378	1143	1874
379	1145	1868
380	1146	1862
381	1147	1856
382	1149	1851
383	1150	1845
384	1151	1839
385	1152	1833
386	1153	1827
387	1154	1821
388	1155	1815
389	1157	1810
390	1158	1804
391	1159	1798
392	1160	1792
393	1162	1787
394	1163	1781
395	1164	1775
396	1165	1770
397	1166	1764
398	1167	1758
399	1168	1753
400	1169	1747
401	1171	1742
402	1172	1736
403	1173	1730
404	1174	1725
405	1175	1719
406	1177	1715
407	1178	1709
408	1179	1704
409	1180	1698
410	1181	1693
411	1183	1688
412	1184	1682
413	1185	1677
414	1186	1672
415	1187	1666
416	1188	1661
417	1189	1656
418	1190	1651
419	1192	1646
420	1193	1640
421	1194	1635
422	1195	1630
423	1196	1625
424	1197	1620
425	1198	1615
426	1199	1610
427	1200	1604
428	1201	1599
429	1202	1594
430	1204	1589
431	1206	1585
432	1207	1580
433	1208	1575
434	1209	1570
435	1210	1565
436	1211	1560
437	1212	1555
438	1213	1550
439	1214	1545
440	1215	1540
441	1216	1535
442	1217	1530
443	1218	1526
444	1220	1522
445	1221	1517
446	1222	1512
447	1223	1507
448	1224	1502
449	1225	1498
450	1226	1493
451	1228	1488
452	1229	1484
453	1230	1479
454	1231	1475
455	1232	1470
456	1234	1466
457	1235	1462
458	1236	1457
459	1237	1453
460	1239	1448
461	1240	1444
462	1241	1440
463	1243	1435
464	1244	1431
465	1245	1427
466	1247	1423
467	1248	1419
468	1250	1415
469	1251	1411
470	1252	1406
471	1253	1402
472	1254	1398
473	1255	1393
474	1256	1388
475	1257	1384
476	1258	1379
477	1259	1375
478	1260	1370
479	1261	1366
480	1262	1362
481	1263	1358
482	1264	1353
483	1265	1349
484	1266	1345
485	1267	1340
486	1268	1336
487	1269	1331
488	1270	1327
489	1271	1322
490	1271	1318
491	1272	1314
492	1273	1309
493	1274	1305
494	1275	1301
495	1276	1296
496	1276	1292
497	1277	1288
498	1278	1283
499	1279	1279
500	1280	1275
501	1281	1271
502	1282	1266
503	1282	1262
504	1283	1258
505	1284	1254
506	1285	1250
507	1286	1246
508	1287	1242
509	1288	1237
510	1289	1233
511	1290	1229
512	1290	1225
513	1291	1221
514	1293	1217
515	1294	1213
516	1294	1209
517	1295	1205
518	1296	1201
519	1297	1197
520	1298	1193
521	1299	1189
522	1300	1185
523	1300	1181
524	1301	1177
525	1302	1173
526	1303	1169
527	1304	1166
528	1305	1162
529	1306	1158
530	1307	1154
531	1308	1150
532	1309	1146
533	1310	1143
534	1310	1139
535	1311	1135
536	1312	1131
537	1313	1127
538	1314	1123
539	1314	1120
540	1315	1116
541	1316	1112
542	1317	1108
543	1318	1105
544	1319	1101
545	1320	1097
546	1321	1094
547	1322	1090
548	1323	1086
549	1323	1083
550	1324	1079
551	1325	1075
552	1326	1072
553	1327	1068
554	1328	1064
555	1329	1061
556	1329	1057
557	1330	1054
558	1331	1050
559	1332	1046
560	1333	1043
561	1334	1039
562	1335	1036
563	1335	1032
564	1336	1029
565	1337	1025
566	1338	1022
567	1339	1019
568	1340	1015
569	1341	1012
570	1342	1008
571	1343	1005
572	1344	1001
573	1344	998
574	1345	994
575	1346	991
576	1347	987
577	1348	984
578	1349	981
579	1350	978
580	1351	974
581	1352	971
582	1353	968
583	1354	965
584	1355	961
585	1357	958
586	1358	955
587	1359	952
588	1360	949
589	1360	945
590	1361	942
591	1362	939
592	1363	935
593	1364	932
594	1365	929
595	1366	926
596	1368	923
597	1370	921
598	1371	918
599	1372	915
600	1373	912
601	1375	909
602	1376	906
603	1377	902
604	1378	900
605	1380	897
606	1381	894
607	1383	892
608	1385	889
609	1386	886
610	1387	883
611	1388	880
612	1390	877
